symbol,hour_et,model,l1_90d,l1_180d,l1_365d,l1_500d,l1_730d,spread,pct_drift
AAPL,9,AGG,3.23439,3.13147,2.86714,2.98198,2.82247,0.41192,12.74
AAPL,9,CON,4.57533,4.42974,4.05583,4.21827,3.99263,0.5827,12.74
AAPL,9,WIDE,5.46929,5.29525,4.84829,5.04247,4.77274,0.69655,12.74
AAPL,10,AGG,1.71532,1.67108,1.56479,1.65701,1.58927,0.15053,8.78
AAPL,10,CON,2.42647,2.36389,2.21354,2.34399,2.24816,0.21293,8.78
AAPL,10,WIDE,2.90057,2.82576,2.64603,2.80198,2.68742,0.25454,8.78
AAPL,11,AGG,1.35144,1.32603,1.2236,1.32538,1.26674,0.12784,9.46
AAPL,11,CON,1.91173,1.87579,1.7309,1.87486,1.79192,0.18083,9.46
AAPL,11,WIDE,2.28526,2.2423,2.06909,2.24119,2.14204,0.21617,9.46
AAPL,12,AGG,1.35863,1.255,1.18205,1.28503,1.17833,0.1803,13.27
AAPL,12,CON,1.9219,1.77531,1.67211,1.81779,1.66685,0.25505,13.27
AAPL,12,WIDE,2.29741,2.12218,1.99882,2.17296,1.99253,0.30488,13.27
AAPL,13,AGG,1.04691,1.07719,1.04248,1.14251,1.07311,0.10003,9.55
AAPL,13,CON,1.48094,1.52378,1.47469,1.61618,1.51801,0.14149,9.55
AAPL,13,WIDE,1.7703,1.82151,1.76282,1.93196,1.81461,0.16914,9.55
AAPL,14,AGG,1.14114,1.19341,1.06796,1.15445,1.07027,0.12545,10.99
AAPL,14,CON,1.61424,1.68818,1.51073,1.63308,1.51399,0.17745,10.99
AAPL,14,WIDE,1.92964,2.01803,1.8059,1.95216,1.8098,0.21213,10.99
AAPL,15,AGG,1.1331,1.18578,1.07512,1.18191,1.14551,0.11066,9.77
AAPL,15,CON,1.60286,1.67739,1.52085,1.67192,1.62042,0.15654,9.77
AAPL,15,WIDE,1.91604,2.00513,1.81801,1.99859,1.93704,0.18712,9.77
MSFT,9,AGG,5.81465,5.56378,4.99786,4.90946,4.65136,1.16329,20.01
MSFT,9,CON,8.22535,7.87046,7.06991,6.94486,6.57976,1.64559,20.01
MSFT,9,WIDE,9.83247,9.40825,8.45128,8.3018,7.86536,1.96711,20.01
MSFT,10,AGG,3.0354,2.93205,2.71538,2.68536,2.62212,0.41328,13.62
MSFT,10,CON,4.29384,4.14764,3.84115,3.79868,3.70923,0.58461,13.62
MSFT,10,WIDE,5.1328,4.95804,4.59167,4.54089,4.43396,0.69884,13.62
MSFT,11,AGG,2.39715,2.20835,2.06935,2.11989,2.08123,0.3278,13.67
MSFT,11,CON,3.39099,3.12391,2.92727,2.99878,2.94408,0.46372,13.68
MSFT,11,WIDE,4.05354,3.73428,3.49923,3.5847,3.51932,0.55431,13.67
MSFT,12,AGG,2.07507,2.00294,1.88542,1.95722,1.88188,0.19319,9.31
MSFT,12,CON,2.93537,2.83334,2.6671,2.76866,2.66209,0.27328,9.31
MSFT,12,WIDE,3.5089,3.38694,3.18821,3.30962,3.18223,0.32667,9.31
MSFT,13,AGG,1.93364,1.85608,1.76816,1.89689,1.81899,0.16548,8.56
MSFT,13,CON,2.7353,2.62559,2.50122,2.68332,2.57313,0.23408,8.56
MSFT,13,WIDE,3.26974,3.1386,2.98993,3.20761,3.07588,0.27981,8.56
MSFT,14,AGG,1.85381,1.83204,1.67902,1.77196,1.66539,0.18842,10.16
MSFT,14,CON,2.62238,2.59158,2.37512,2.5066,2.35584,0.26654,10.16
MSFT,14,WIDE,3.13476,3.09794,2.83919,2.99636,2.81614,0.31862,10.16
MSFT,15,AGG,1.7158,1.77607,1.76455,1.89523,1.85575,0.17943,10.46
MSFT,15,CON,2.42715,2.51241,2.49611,2.68097,2.62512,0.25382,10.46
MSFT,15,WIDE,2.90138,3.0033,2.98381,3.2048,3.13804,0.30342,10.46
